House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
26,Northumberland Drive,Sean,Lawrence,25,None,Single,Male,Sub,None,None
27,Northumberland Drive,Iain,Naylor,18,Head,Divorced,Male,Student,None,NA
28,Northumberland Drive,Annette,Gill,41,Head,Single,Female,Sports coach,None,None
28,Northumberland Drive,Katie,Gill,8,Daughter,NA,Female,Student,None,NA
29,Northumberland Drive,Leon,Woods,60,Head,Single,Male,Regulatory affairs officer,None,Catholic
29,Northumberland Drive,Kathryn,Hill,60,Partner,Single,Female,"Accountant, chartered",None,None
30,Northumberland Drive,Frederick,Thomas,62,Head,Single,Male,Economist,None,Christian
30,Northumberland Drive,Ben,Knight,35,None,Single,Male,Technical brewer,None,Christian
30,Northumberland Drive,Mitchell,Parker,63,None,Single,Male,Financial trader,None,Christian
31,Northumberland Drive,Geoffrey,Smith,27,Head,Single,Male,Marine scientist,None,None
32,Northumberland Drive,Kirsty,Ellis,72,Head,Married,Female,"Retired Engineer, drilling",None,None
32,Northumberland Drive,Mohammed,Ellis,72,Husband,Married,Male,Retired Airline pilot,None,None
33,Northumberland Drive,Vanessa,Allen,69,Head,Widowed,Female,"Retired Lighting technician, broadcasting/film/video",None,Methodist
34,Northumberland Drive,Debra,Dixon,35,Head,Divorced,Female,"Designer, industrial/product",None,Sikh
35,Northumberland Drive,James,Farmer,34,Head,Single,Male,"Surveyor, quantity",None,None
36,Northumberland Drive,Chloe,Francis,77,Head,Married,Female,Retired Financial manager,None,Christian
36,Northumberland Drive,Derek,Francis,76,Husband,Married,Male,Retired Wellsite geologist,None,Christian
1,Ricehall Avenue,Diana,Hussain,51,Head,Married,Female,Archivist,None,Christian
1,Ricehall Avenue,Graeme,Hussain,54,Husband,Married,Male,Translator,None,Christian
1,Ricehall Avenue,Kenneth,Hussain,23,Son,Single,Male,Office manager,None,None
1,Ricehall Avenue,Denis,Hussain,5,Son,NA,Male,Student,None,NA
2,Ricehall Avenue,Karen,Ross,46,Head,Married,Female,Environmental education officer,None,Catholic
2,Ricehall Avenue,Justin,Ross,49,Husband,Married,Male,"Engineer, site",None,Catholic
2,Ricehall Avenue,Jeffrey,Ross,21,Son,Single,Male,University Student,None,Catholic
2,Ricehall Avenue,Mary,Ross,7,Daughter,NA,Female,Student,None,NA
3,Ricehall Avenue,Eleanor,Harris,62,Head,Single,Female,Estate manager/land agent,None,Catholic
3,Ricehall Avenue,Denise,Gray,42,None,Single,Female,"Therapist, horticultural",None,Christian
3,Ricehall Avenue,Gemma,Macdonald,26,None,Single,Female,Clinical psychologist,None,Methodist
4,Ricehall Avenue,Brenda,Holt,43,Head,Single,Female,Community pharmacist,None,Catholic
4,Ricehall Avenue,Jason,Oliver,49,Partner,Single,Male,Quantity surveyor,None,None
4,Ricehall Avenue,Reece,Holt,9,Son,NA,Male,Student,None,NA
4,Ricehall Avenue,Diane,Holt,6,Daughter,NA,Female,Student,None,NA
5,Ricehall Avenue,Jacqueline,Peacock,74,Head,Divorced,Female,Unemployed,None,None
5,Ricehall Avenue,Holly,Peacock,46,Daughter,Single,Female,"Pharmacist, hospital",None,None
5,Ricehall Avenue,Maria,Peacock,42,Daughter,Single,Female,Scientific laboratory technician,None,None
5,Ricehall Avenue,Cheryl,Peacock,39,Daughter,Divorced,Female,Human resources officer,None,None
6,Ricehall Avenue,Pamela,Hughes,54,Head,Divorced,Female,Unemployed,Disabled,Christian
6,Ricehall Avenue,Carolyn,Hughes,17,Daughter,NA,Female,Student,None,NA
6,Ricehall Avenue,Rebecca,Hughes,14,Daughter,NA,Female,Student,None,NA
6,Ricehall Avenue,Jasmine,Hughes,11,Daughter,NA,Female,Student,None,NA
7,Ricehall Avenue,Katy,Parkin,48,Head,Single,Female,"Buyer, retail",None,Christian
7,Ricehall Avenue,Dominic,Scott,46,Partner,Single,Male,Hotel manager,None,Christian
7,Ricehall Avenue,Anthony,Parkin,28,Son,Single,Male,Ambulance person,None,Christian
7,Ricehall Avenue,Sarah,Parkin,14,Daughter,NA,Female,Student,None,NA
8,Ricehall Avenue,Jennifer,Arnold,76,Head,Married,Female,Retired Actor,None,Methodist
8,Ricehall Avenue,Mohamed,Arnold,75,Husband,Married,Male,Retired Trade mark attorney,None,Methodist
8,Ricehall Avenue,Roger,Wood,27,Grandson,Single,Male,Child psychotherapist,None,Methodist
8,Ricehall Avenue,Grace,Anderson,24,Granddaughter,Single,Female,"Engineer, petroleum",None,Methodist
9,Ricehall Avenue,Brenda,Middleton,32,Head,Single,Female,"Editor, commissioning",None,Catholic
9,Ricehall Avenue,Conor,Forster,34,Partner,Single,Male,"Programmer, applications",None,Catholic
10,Ricehall Avenue,Mandy,Bates,53,Head,Divorced,Female,Computer games developer,None,Christian
10,Ricehall Avenue,James,Watson,19,Nephew,Single,Male,University Student,None,Christian
10,Ricehall Avenue,Natasha,Wood,16,Neice,NA,Female,Student,None,NA
10,Ricehall Avenue,Gerard,Wood,15,Nephew,NA,Male,Student,None,NA
11,Ricehall Avenue,Geraldine,Holmes,33,Head,Married,Female,Television floor manager,None,Christian
11,Ricehall Avenue,Hugh,Holmes,40,Husband,Married,Male,Pharmacologist,None,Christian
11,Ricehall Avenue,Joanne,Holmes,13,Daughter,NA,Female,Student,None,NA
12,Ricehall Avenue,Ann,Wilson,50,Head,Married,Female,Control and instrumentation engineer,None,Christian
12,Ricehall Avenue,Brian,Wilson,52,Husband,Married,Male,"Engineer, building services",None,Christian
12,Ricehall Avenue,Lee,Wilson,27,Son,Single,Male,"Engineer, site",None,Christian
12,Ricehall Avenue,Josephine,Wilson,25,Daughter,Single,Female,Audiological scientist,None,Christian
12,Ricehall Avenue,Stuart,Grant,22,Son,Divorced,Male,University Student,None,None
12,Ricehall Avenue,Jade,Grant,13,Daughter,NA,Female,Student,None,NA
13,Ricehall Avenue,Irene,Hunter,44,Head,Single,Female,Unemployed,None,None
13,Ricehall Avenue,Jordan,Storey,46,Partner,Single,Male,Magazine journalist,None,None
13,Ricehall Avenue,Carol,Hunter,22,Daughter,Divorced,Female,Sports coach,None,None
13,Ricehall Avenue,Holly,Hunter,0,Daughter,NA,Female,Child,None,NA
14,Ricehall Avenue,Lynne,Butler,34,Head,Married,Female,Biomedical scientist,None,None
14,Ricehall Avenue,Thomas,Gardner,33,Husband,Married,Male,Nature conservation officer,None,None
14,Ricehall Avenue,Gordon,Butler,7,Son,NA,Male,Student,None,NA
14,Ricehall Avenue,Suzanne,Butler,4,Daughter,NA,Female,Child,None,NA
15,Ricehall Avenue,Sian,Smart,50,Head,Married,Female,Sub,None,None
15,Ricehall Avenue,Gerald,Smart,53,Husband,Married,Male,Water quality scientist,None,None
15,Ricehall Avenue,Jacqueline,Smart,23,Daughter,Divorced,Female,Fine artist,None,None
15,Ricehall Avenue,Mitchell,Smart,12,Son,NA,Male,Student,None,NA
16,Ricehall Avenue,Alexandra,Davis,65,Head,Married,Female,English as a second language teacher,None,Catholic
16,Ricehall Avenue,Ian,Davis,73,Husband,Married,Male,Retired Computer games developer,None,Catholic
16,Ricehall Avenue,Billy,Davis,29,Son,Divorced,Male,Community development worker,None,None
17,Ricehall Avenue,Jennifer,Jenkins,36,Head,Single,Female,Sports therapist,None,None
17,Ricehall Avenue,Gerard,Jenkins,10,Son,NA,Male,Student,None,NA
17,Ricehall Avenue,Kyle,Evans-Jenkins,9,Son,NA,Male,Student,None,NA
17,Ricehall Avenue,Dale,Evans-Jenkins,4,Son,NA,Male,Child,None,NA
18,Ricehall Avenue,Lucy,Cross,54,Head,Single,Female,Unemployed,None,None
18,Ricehall Avenue,Joel,Cross,14,Son,NA,Male,Student,None,NA
18,Ricehall Avenue,Julia,Cross,8,Daughter,NA,Female,Student,None,NA
18,Ricehall Avenue,Patricia,Cross,2,Daughter,NA,Female,Child,None,NA
18,Ricehall Avenue,Sharon,Jones,27,Lodger,Divorced,Female,"Administrator, charities/voluntary organisations",None,Muslim
18,Ricehall Avenue,Sally,Long,52,Lodger,Single,Female,Herpetologist,None,Catholic
19,Ricehall Avenue,Eileen,Bond,44,Head,Single,Female,Orthoptist,None,Catholic
19,Ricehall Avenue,Jamie,Bond,8,Son,NA,Male,Student,None,NA
19,Ricehall Avenue,Marc,Bond,5,Son,NA,Male,Student,None,NA
19,Ricehall Avenue,Jayne,Bond,4,Daughter,NA,Female,Child,None,NA
19,Ricehall Avenue,Emma,Bond,4,Daughter,NA,Female,Child,None,NA
20,Ricehall Avenue,Sandra,Booth,55,Head,Married,Female,"Psychologist, prison and probation services",None,Christian
20,Ricehall Avenue,Howard,Booth,60,Husband,Married,Male,"Journalist, magazine",None,Christian
20,Ricehall Avenue,Dylan,Booth,32,Son,Divorced,Male,Market researcher,None,None
20,Ricehall Avenue,Glenn,Booth,11,Son,NA,Male,Student,None,NA
21,Ricehall Avenue,Rita,King,62,Head,Single,Female,Control and instrumentation engineer,None,Catholic
21,Ricehall Avenue,Stuart,Lawrence,64,Partner,Single,Male,Publishing rights manager,None,Catholic
21,Ricehall Avenue,Callum,King,32,Son,Divorced,Male,Petroleum engineer,None,Catholic
21,Ricehall Avenue,Malcolm,Murphy-King,30,Son,Single,Male,"Surveyor, mining",None,None
21,Ricehall Avenue,Anne,Murphy-King,26,Daughter,Single,Female,Banker,None,Catholic
21,Ricehall Avenue,Danielle,Murphy-King,7,Daughter,NA,Female,Student,None,NA
22,Ricehall Avenue,Marion,Taylor,37,Head,Married,Female,Newspaper journalist,None,Methodist
22,Ricehall Avenue,Toby,Taylor,42,Husband,Married,Male,"Librarian, academic",None,None
22,Ricehall Avenue,Wendy,Taylor,19,Daughter,Single,Female,University Student,None,Methodist
22,Ricehall Avenue,Eleanor,Taylor,17,Daughter,NA,Female,Student,None,NA
23,Ricehall Avenue,Shannon,Williams,35,Head,Single,Female,Unemployed,None,Christian
23,Ricehall Avenue,Dylan,Williams-Ford,35,Partner,Single,Male,Technical author,None,Christian
23,Ricehall Avenue,Reece,Williams-Ford,14,Son,NA,Male,Student,None,NA
23,Ricehall Avenue,Matthew,Williams-Ford,11,Son,NA,Male,Student,None,NA
24,Ricehall Avenue,Pauline,Jones,31,Head,Married,Female,"Research officer, political party",None,None
24,Ricehall Avenue,Darren,Jones,33,Husband,Married,Male,Therapeutic radiographer,None,None
24,Ricehall Avenue,Allan,Jones,7,Son,NA,Male,Student,None,NA
24,Ricehall Avenue,Ashley,Jones,4,Son,NA,Male,Child,None,NA
25,Ricehall Avenue,Ashleigh,Parker-Lee,35,Head,Married,Female,Homeopath,None,None
25,Ricehall Avenue,Joel,Parker-Lee,34,Husband,Married,Male,Special educational needs teacher,None,None
25,Ricehall Avenue,Graeme,Potter,43,Lodger,Single,Male,Aid worker,None,None
25,Ricehall Avenue,Eleanor,Powell,58,Lodger,Divorced,Female,Futures trader,None,Christian
26,Ricehall Avenue,Bethan,Evans,58,Head,Married,Female,"Therapist, drama",Deaf,None
26,Ricehall Avenue,Simon,Evans,59,Husband,Married,Male,Careers adviser,None,None
26,Ricehall Avenue,Sam,Evans,31,Son,Single,Male,Research scientist (physical sciences),None,None
26,Ricehall Avenue,Tina,Evans,28,Daughter,Single,Female,Web designer,None,None
27,Ricehall Avenue,Matthew,Robinson,71,Head,Single,Male,"Retired Programmer, multimedia",None,Methodist
28,Ricehall Avenue,Kim,Moore,53,Head,Divorced,Female,Unemployed,None,Christian
28,Ricehall Avenue,Jessica,Moore,18,Daughter,Single,Female,Student,None,Christian
28,Ricehall Avenue,Daniel,Moore,15,Son,NA,Male,Student,None,NA
29,Ricehall Avenue,Mohammed,Hall,40,Head,Married,Male,"Engineer, structural",None,Catholic
29,Ricehall Avenue,Louise,Hall,37,Wife,Married,Female,Accounting technician,None,Catholic
29,Ricehall Avenue,Karen,Hall,17,Daughter,NA,Female,Student,Deaf,NA
29,Ricehall Avenue,Katherine,Hall,13,Daughter,NA,Female,Student,None,NA
29,Ricehall Avenue,Danielle,Hall,11,Daughter,NA,Female,Student,None,NA
30,Ricehall Avenue,Stephen,Stephenson,54,Head,Single,Male,Dancer,None,Methodist
30,Ricehall Avenue,Nicola,Patel,32,None,Single,Female,Higher education careers adviser,None,None
30,Ricehall Avenue,Lawrence,Knight,28,None,Single,Male,"Engineer, water",None,None
30,Ricehall Avenue,Toby,Gibbons,36,None,Divorced,Male,"Surveyor, rural practice",None,Christian
31,Ricehall Avenue,Maria,Leach,36,Head,Married,Female,Insurance claims handler,None,Catholic
31,Ricehall Avenue,Sam,Leach,37,Husband,Married,Male,Speech and language therapist,None,Catholic
31,Ricehall Avenue,Matthew,Leach,9,Son,NA,Male,Student,None,NA
31,Ricehall Avenue,Teresa,Edwards-Leach,4,Daughter,NA,Female,Child,None,NA
32,Ricehall Avenue,Shane,James,35,Head,Single,Male,"Research officer, trade union",None,None
32,Ricehall Avenue,Owen,James,2,Son,NA,Male,Child,None,NA
32,Ricehall Avenue,Kelly,Jones,48,Lodger,Single,Female,"Scientist, research (physical sciences)",None,None
32,Ricehall Avenue,Adrian,Butler,49,Lodger,Divorced,Male,Sport and exercise psychologist,None,Christian
33,Ricehall Avenue,Abigail,Davies,42,Head,Married,Female,Production engineer,None,Catholic
33,Ricehall Avenue,Duncan,Davies,46,Husband,Married,Male,Archaeologist,None,Catholic
33,Ricehall Avenue,Andrea,Davies,2,Daughter,NA,Female,Child,None,NA
33,Ricehall Avenue,Peter,Taylor,18,Lodger,Single,Male,Student,None,NA
34,Ricehall Avenue,Donna,Mitchell,78,Head,Married,Female,Retired Food technologist,None,Methodist
34,Ricehall Avenue,Stewart,Mitchell,82,Husband,Married,Male,Retired Electrical engineer,None,Methodist
35,Ricehall Avenue,Kathleen,Carroll,28,Head,Single,Female,Environmental health practitioner,None,None
36,Ricehall Avenue,Diane,Harrison,80,Head,Married,Female,Retired Historic buildings inspector/conservation officer,None,Christian
36,Ricehall Avenue,Philip,Harrison,81,Husband,Married,Male,Retired Television camera operator,None,Christian
36,Ricehall Avenue,Norman,Harrison,48,Son,Single,Male,Chief Financial Officer,None,Christian
36,Ricehall Avenue,Rosie,Harrison,47,Daughter,Single,Female,Cabin crew,None,Christian
36,Ricehall Avenue,Charlie,Harrison,43,Son,Single,Male,Warden/ranger,None,Christian
37,Ricehall Avenue,Rita,Bennett,40,Head,Married,Female,"Pharmacist, hospital",None,Methodist
37,Ricehall Avenue,Francis,Bennett,46,Husband,Married,Male,Biomedical scientist,None,Methodist
37,Ricehall Avenue,Caroline,Bennett,17,Daughter,NA,Female,Student,None,NA
37,Ricehall Avenue,Kenneth,Bennett,14,Son,NA,Male,Student,None,NA
38,Ricehall Avenue,Marcus,Abbott,37,Head,Single,Male,Speech and language therapist,None,Catholic
38,Ricehall Avenue,Josh,Burton,53,None,Single,Male,Legal secretary,None,Christian
38,Ricehall Avenue,Sian,Stephens,53,None,Single,Female,Further education lecturer,None,Christian
38,Ricehall Avenue,Amanda,Johnson,21,None,Single,Female,University Student,None,Methodist
38,Ricehall Avenue,Howard,Phillips,43,None,Single,Male,Public relations officer,None,None
38,Ricehall Avenue,Gareth,Woodward,48,None,Single,Male,Financial manager,None,None
39,Ricehall Avenue,Tony,Turnbull,40,Head,Married,Male,Broadcast engineer,None,Catholic
39,Ricehall Avenue,Charlene,Turnbull,38,Wife,Married,Female,Advice worker,None,None
39,Ricehall Avenue,Carolyn,Smith,35,Sibling,Single,Female,Multimedia programmer,None,Christian
40,Ricehall Avenue,Clifford,Burke,82,Head,Married,Male,Retired Accounting technician,None,None
40,Ricehall Avenue,Carolyn,Burke,80,Wife,Married,Female,Retired Arboriculturist,None,None
40,Ricehall Avenue,Mohamed,Burke,17,Grandson,NA,Male,Student,None,NA
40,Ricehall Avenue,Joanna,Williams,15,Granddaughter,NA,Female,Student,None,NA
41,Ricehall Avenue,Jenna,Skinner,49,Head,Married,Female,Adult guidance worker,None,Christian
41,Ricehall Avenue,Arthur,Skinner,57,Husband,Married,Male,Psychiatrist,None,None
41,Ricehall Avenue,Phillip,Skinner,18,Son,Single,Male,Student,None,Christian
41,Ricehall Avenue,Connor,Skinner,16,Son,NA,Male,Student,None,NA
42,Ricehall Avenue,Shirley,Gregory,36,Head,Married,Female,Unemployed,None,Christian
42,Ricehall Avenue,Keith,Gregory,37,Husband,Married,Male,Financial manager,None,None
42,Ricehall Avenue,Kenneth,Gregory,15,Son,NA,Male,Student,None,NA
43,Ricehall Avenue,Katy,Cox,32,Head,Married,Female,"Research officer, government",None,Methodist
43,Ricehall Avenue,Duncan,Cox,30,Husband,Married,Male,Insurance broker,None,None
43,Ricehall Avenue,Joanne,Cox,2,Daughter,NA,Female,Child,None,NA
44,Ricehall Avenue,Alison,Yates,42,Head,Married,Female,"Surveyor, minerals",None,None
44,Ricehall Avenue,Wayne,Yates,47,Husband,Married,Male,"Pilot, airline",None,None
44,Ricehall Avenue,Brian,Yates,3,Son,NA,Male,Child,None,NA
44,Ricehall Avenue,Keith,Yates,1,Son,NA,Male,Child,None,NA
45,Ricehall Avenue,Joseph,Burke,46,Head,Single,Male,Unemployed,None,Catholic
45,Ricehall Avenue,Jodie,McLean,29,None,Single,Female,Manufacturing engineer,None,None
45,Ricehall Avenue,Barry,Roberts,57,None,Single,Male,Oceanographer,None,Christian
45,Ricehall Avenue,Matthew,Hilton,52,None,Single,Male,Hydrographic surveyor,None,Christian
46,Ricehall Avenue,Peter,Hobbs,64,Head,Single,Male,Media planner,None,Christian
46,Ricehall Avenue,Kenneth,Hobbs,27,None,Single,Male,"Therapist, nutritional",None,Christian
46,Ricehall Avenue,Abdul,King,62,None,Single,Male,Clinical embryologist,None,Christian
46,Ricehall Avenue,Glen,Mann,38,None,Single,Male,"Engineer, structural",None,None
47,Ricehall Avenue,Kirsty,Jones,18,Head,Single,Female,Student,None,NA
48,Ricehall Avenue,Fiona,Knight,49,Head,Married,Female,Unemployed,None,Christian
48,Ricehall Avenue,Benjamin,Knight,52,Husband,Married,Male,Diplomatic Services operational officer,None,None
48,Ricehall Avenue,Justin,Knight,12,Son,NA,Male,Student,None,NA
48,Ricehall Avenue,Dorothy,Knight,10,Daughter,NA,Female,Student,None,NA
49,Ricehall Avenue,Louise,King,42,Head,Married,Female,Unemployed,None,Methodist
49,Ricehall Avenue,Neil,King,47,Husband,Married,Male,"Presenter, broadcasting",None,Methodist
49,Ricehall Avenue,Malcolm,Wilkinson,10,Step-Son,NA,Male,Student,None,NA
49,Ricehall Avenue,Lisa,Wilkinson,6,Step-Daughter,NA,Female,Student,None,NA
50,Ricehall Avenue,Emma,Cooper,54,Head,Single,Female,"Scientist, water quality",None,Christian
50,Ricehall Avenue,Carl,Foster,54,Partner,Single,Male,Unemployed,None,Christian
50,Ricehall Avenue,Trevor,Cooper,15,Son,NA,Male,Student,None,NA
50,Ricehall Avenue,Rebecca,Cooper,10,Daughter,NA,Female,Student,None,NA
51,Ricehall Avenue,Duncan,Barker,28,Head,Single,Male,Commercial horticulturist,None,Catholic
51,Ricehall Avenue,Tom,Singh,43,None,Single,Male,Music therapist,None,Christian
51,Ricehall Avenue,Lee,Adams,53,None,Single,Male,Actuary,None,Christian
51,Ricehall Avenue,Rhys,Hall,56,None,Single,Male,Chartered management accountant,None,Christian
51,Ricehall Avenue,Allan,Wilson,52,None,Single,Male,Radiation protection practitioner,None,Christian
52,Ricehall Avenue,Kathleen,Browne,36,Head,Married,Female,Graphic designer,None,None
52,Ricehall Avenue,Trevor,Browne,41,Husband,Married,Male,Applications developer,None,None
52,Ricehall Avenue,Molly,Browne,4,Daughter,NA,Female,Child,None,NA
52,Ricehall Avenue,Jayne,Browne,3,Daughter,NA,Female,Child,None,NA
53,Ricehall Avenue,Gail,Bibi,33,Head,Divorced,Female,Bonds trader,None,None
53,Ricehall Avenue,Eric,Bibi,4,Son,NA,Male,Child,None,NA
53,Ricehall Avenue,Tony,Bibi,1,Son,NA,Male,Child,None,NA
53,Ricehall Avenue,Sheila,Bibi,32,Lodger,Single,Female,Editorial assistant,None,None
54,Ricehall Avenue,Kyle,Banks,36,Head,Married,Male,Unemployed,None,Christian
54,Ricehall Avenue,Hazel,Banks,33,Wife,Married,Female,"Surveyor, mining",None,Christian
55,Ricehall Avenue,Karen,Cole,41,Head,Married,Female,Forensic psychologist,None,Christian
55,Ricehall Avenue,Rhys,Cole,43,Husband,Married,Male,Visual merchandiser,None,Christian
55,Ricehall Avenue,Sean,Cole,7,Son,NA,Male,Student,None,NA
55,Ricehall Avenue,William,Cole,3,Son,NA,Male,Child,None,NA
56,Ricehall Avenue,Maureen,Spencer,41,Head,Married,Female,Tax adviser,None,Christian
56,Ricehall Avenue,Edward,Spencer,44,Husband,Married,Male,Senior tax professional/tax inspector,None,Christian
56,Ricehall Avenue,Harry,Spencer,13,Step-Son,NA,Male,Student,None,NA
56,Ricehall Avenue,Kathleen,Shaw,10,Step-Daughter,NA,Female,Student,None,NA
1,Kaur Street,Holly,Morgan,42,Head,Married,Female,Publishing copy,None,None
1,Kaur Street,Robert,Marshall,42,Husband,Married,Male,Emergency planning/management officer,None,None
1,Kaur Street,Harry,Morgan,8,Son,NA,Male,Student,None,NA
2,Kaur Street,Andrea,Saunders,48,Head,Married,Female,"Loss adjuster, chartered",None,Methodist
2,Kaur Street,Andrew,Saunders,47,Husband,Married,Male,Furniture designer,None,Methodist
2,Kaur Street,Arthur,Saunders,15,Son,NA,Male,Student,None,NA
3,Kaur Street,Leonard,Smith,68,Head,Divorced,Male,Retired Information officer,None,Christian
4,Kaur Street,Anna,Norman,48,Head,Single,Female,Risk analyst,None,Methodist
4,Kaur Street,Jordan,Norman,5,Son,NA,Male,Student,None,NA
4,Kaur Street,Emma,Norman,3,Daughter,NA,Female,Child,None,NA
5,Kaur Street,Claire,Cross,48,Head,Divorced,Female,Unemployed,None,Methodist
5,Kaur Street,Jasmine,Cross,13,Daughter,NA,Female,Student,Disabled,NA
5,Kaur Street,Lindsey,Cross,10,Daughter,NA,Female,Student,None,NA
6,Kaur Street,Leanne,Porter,49,Head,Single,Female,Unemployed,None,Sikh
6,Kaur Street,Keith,Porter,11,Son,NA,Male,Student,None,NA
6,Kaur Street,Lawrence,Porter,9,Son,NA,Male,Student,None,NA
7,Kaur Street,Dylan,Carter,30,Head,Married,Male,Unemployed,None,Christian
7,Kaur Street,Melanie,Carter,22,Wife,Married,Female,"Designer, blown glass/stained glass",None,Christian
7,Kaur Street,Jade,Heath,33,Lodger,Single,Female,Hotel manager,None,None
8,Kaur Street,Marion,Smith,44,Head,Single,Female,Legal executive,None,Catholic
8,Kaur Street,Alex,Lamb,46,Partner,Single,Male,Facilities manager,None,None
8,Kaur Street,Josephine,Smith,17,Daughter,NA,Female,Student,None,NA
9,Kaur Street,Nicola,Cross,56,Head,Married,Female,Naval architect,None,Catholic
9,Kaur Street,Frederick,Cross,61,Husband,Married,Male,Armed forces training and education officer,None,Catholic
9,Kaur Street,Jemma,Cross,22,Daughter,Single,Female,University Student,None,None
10,Kaur Street,Amy,Jones,62,Head,Single,Female,Dance movement psychotherapist,None,Christian
10,Kaur Street,Christian,Jones,37,Son,Single,Male,Jewellery designer,None,None
10,Kaur Street,Gary,Jones,34,Son,Divorced,Male,Medical sales representative,None,Christian
11,Kaur Street,Megan,Clarke,37,Head,Married,Female,Licensed conveyancer,None,Catholic
11,Kaur Street,Stuart,Clarke,41,Husband,Married,Male,Environmental health practitioner,None,None
11,Kaur Street,Lisa,Clarke,5,Daughter,NA,Female,Student,None,NA
11,Kaur Street,Nicholas,Ellis,1,Son,NA,Male,Child,None,NA
12,Kaur Street,Harriet,Evans,26,Head,Married,Female,"Nurse, learning disability",None,None
